Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
Cameroon,24053727,YES,1964,0.40,0.43,0.00,15,6,3,1,2,14,6,3,1,2,1,0,0,0,0,Athletics,2,2,0,0,CMR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,0.25,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,36624199,YES,1896,10.22,11.62,8.65,49,525,144,172,209,26,326,71,108,147,23,199,73,64,62,Ice Hockey,22,13,6,3,CAN,3,1,2,"1976 Summer Olympics (Montreal), 1988 Winter Olympics (Calgary), 2010 Winter Olympics (Vancouver)","Decathlon:, Damian Warner 9018 pts",,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,14.33,0,11,0,0,2,98,0,0,9,0,2,3,18,17,33,0,0,4,48,23,18,17,0,43,49,18,1,1,0,0,348,0,5,36,0,0,0,0,0,0,0,1,0,203,0,12,25,24,70,4,0,7,0,45,98,26,0,2,2,7,2,0,0,0,3,17
Cape Verde,546388,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,CPV,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,61559,YES,1976,0.00,0.00,0.00,12,0,0,0,0,10,0,0,0,0,2,0,0,0,0,-,0,0,0,0,CYM,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,4659080,YES,1968,0.00,0.00,0.00,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-,0,0,0,0,CAF,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,14899994,YES,1964,0.00,0.00,0.00,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-,0,0,0,0,TCD,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,18054726,YES,1896,0.33,0.57,0.00,40,13,2,7,4,23,13,2,7,4,17,0,0,0,0,Tennis,4,2,1,1,CHL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,0.72,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
China,1409517397,YES,1952,28.95,54.60,5.64,21,696,275,227,194,10,634,262,199,173,11,62,13,28,21,Table Tennis,53,28,17,8,CHN,1,1,0,2008 Summer Olympics (Beijing),"110 meters hurdles:, Liu Xiang 12.91 sec, 20 km walk:, Chen Ding 1:18.46 hr",,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,0.49,0,0,0,19,0,27,64,0,23,0,4,0,0,12,4,0,0,0,4,9,88,0,30,12,15,8,1,109,13,16,0,0,22,0,0,0,1,0,0,0,0,6,0,29,0,0,6,56,49,0,0,0,15,7,70,31,81,10,4,11,0,0,66,0,57,10
Republic of China,541670000,NO,1932,0.00,0.00,0.00,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XRC,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Taipei,23577271,YES,1956,0.92,1.71,0.00,26,36,7,11,18,14,36,7,11,18,12,0,0,0,0,Taekwondo,8,2,1,5,TWN,0,0,0,,,,,1.53,0,0,0,9,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,8,0
Colombia,49065615,YES,1932,1.05,1.16,0.00,21,27,5,11,11,19,27,5,11,11,2,0,0,0,0,Cycling,6,2,1,3,COL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,0.55,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,2
Comoros,813912,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,COM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,5260750,YES,1964,0.00,0.00,0.00,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-,0,0,0,0,COG,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,17380,YES,1988,0.00,0.00,0.00,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-,0,0,0,0,COK,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,4905769,YES,1936,0.19,0.27,0.00,21,4,1,1,2,15,4,1,1,2,6,0,0,0,0,Swimming,4,1,1,2,CRI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Croatia,4189353,YES,1992,2.93,4.71,1.38,15,52,18,19,15,7,41,14,13,14,8,11,4,6,1,Alpine Skiing,10,4,6,0,HRV,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,12.41,0,10,0,0,0,5,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,3,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,38,2,0
Cuba,11484636,YES,1900,11.30,11.30,0.00,20,241,85,71,85,20,241,85,71,85,0,0,0,0,0,Boxing,73,37,19,17,CUB,0,0,0,,,"Javelin throw:, Olseidys Men̩ndez 71.53 m",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,20.98,0,0,0,0,0,58,0,112,12,0,0,0,0,73,5,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,5,0,0,0,0,52,0,5,22
Cyprus,1179551,YES,1980,0.05,0.10,0.00,21,1,0,1,0,10,1,0,1,0,11,0,0,0,0,Sailing,1,0,1,0,CYP,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,10618303,YES,1994,6.69,9.33,4.43,13,98,28,32,38,6,67,19,21,27,7,31,9,11,11,Canoeing,14,4,5,5,CZE,0,0,0,,,,,9.23,0,1,0,0,0,12,0,0,0,0,0,8,0,1,24,0,0,12,0,2,0,0,0,0,0,1,0,0,0,0,45,0,1,0,0,0,2,0,0,0,0,0,0,8,0,0,1,9,0,0,0,1,0,5,0,0,0,0,10,0,1,0,0,0,0,0
Czechoslovakia,15600000,NO,1920,5.25,8.94,1.56,32,168,51,57,60,16,143,49,49,45,16,25,2,8,15,Gymnastics,35,12,13,10,XCS,0,0,0,,,,,10.77,0,1,0,0,3,24,0,0,0,0,0,0,0,6,18,0,0,11,0,13,2,1,0,5,33,0,0,78,16,16,139,0,1,0,0,0,4,0,0,0,0,0,0,45,0,0,0,9,0,0,10,0,0,0,0,0,0,0,7,0,0,0,23,0,8,15
Denmark,5733551,YES,1896,4.76,7.19,0.07,41,206,48,79,79,27,205,48,78,79,14,1,0,1,0,Sailing,30,12,9,9,DNK,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,35.93,0,0,0,0,9,7,12,0,0,0,0,0,0,12,22,0,0,0,5,52,2,8,6,0,65,0,0,111,59,12,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,66,27,0,0,0,0,0,0,21,0,2,0,1,0,0,3,0,0,3,13
Djibouti,956985,YES,1984,0.13,0.13,0.00,8,1,0,0,1,8,1,0,0,1,0,0,0,0,0,Athletics,1,0,0,1,DJI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,1.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,73925,YES,1996,0.00,0.00,0.00,7,0,0,0,0,6,0,0,0,0,1,0,0,0,0,-,0,0,0,0,DMA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,10766998,YES,1964,0.50,0.50,0.00,14,12,3,5,4,14,12,3,5,4,0,0,0,0,0,Athletics,3,2,1,0,DOM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,1.11,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
DR Congo,81339988,YES,1984,0.00,0.00,0.00,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-,0,0,0,0,COD,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Timor,1296311,YES,2004,0.00,0.00,0.00,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-,0,0,0,0,TLS,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,16624858,YES,1924,0.13,0.14,0.00,15,5,3,2,0,14,5,3,2,0,1,0,0,0,0,Athletics,2,1,1,0,ECU,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,0.30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,97553151,YES,1912,1.39,1.45,0.00,23,38,8,11,19,22,38,8,11,19,1,0,0,0,0,Weightlifting,14,5,3,6,EGY,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,6
El Salvador,6377853,YES,1968,0.00,0.00,0.00,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-,0,0,0,0,SLV,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,1267689,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,GNQ,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,5068831,YES,2000,0.17,0.20,0.00,6,1,0,0,1,5,1,0,0,1,1,0,0,0,0,Athletics,1,0,0,1,ERI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg,0.20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,1309632,YES,1920,1.86,2.83,0.70,22,43,14,11,18,12,36,10,9,17,10,7,4,2,1,Wrestling,11,5,2,4,EST,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,32.83,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Ethiopia,104957438,YES,1956,3.60,4.15,0.00,15,58,23,12,23,13,58,23,12,23,2,0,0,0,0,Athletics,54,22,11,21,ETH,0,0,0,,"5 000 meters:, Kenenisa Bekele 12:57.82 min, 10 000 meters:, Kenenisa Bekele 27:01.17 min","10 000 meters:, Almaz Ayana 29:17.45 min, Marathon:, Tiki Gelana 2:23:07",https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,0.55,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,905502,YES,1956,0.06,0.07,0.00,17,3,2,0,1,14,3,2,0,1,3,0,0,0,0,Rugby,1,1,0,0,FJI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,5523231,YES,1908,9.79,12.12,7.26,48,472,144,148,180,25,305,101,85,119,23,167,43,63,61,Athletics,114,48,36,30,FIN,1,1,0,1952 Summer Olympics (Helsinki),,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,85.46,0,1,0,6,5,138,0,0,0,0,0,12,0,15,14,0,0,141,4,0,0,0,0,4,0,4,0,99,0,0,174,0,0,0,0,4,11,0,23,0,0,0,0,16,0,0,35,41,0,0,34,3,0,24,4,0,0,0,0,0,0,0,0,0,3,85
France,64979548,YES,1896,16.47,25.57,5.39,51,873,258,288,327,28,749,222,253,274,23,124,36,35,53,Fencing,118,42,41,35,FRA,5,2,3,"1900 Summer Olympics (Paris), 1924 Winter Olympics (Chamonix), 1924 Summer Olympics (Paris), 1968 Winter Olympics (Grenoble), 1992 Winter Olympics (Albertville)",,"400 meters:, Marie-Jos̩ P̩rec 48.25 sec",https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,13.43,0,45,0,48,15,116,0,0,38,0,0,40,4,25,53,3,8,5,4,151,1,79,310,18,32,12,0,58,77,0,0,0,49,0,0,4,7,1,7,4,0,0,0,119,49,0,117,69,0,0,1,10,0,0,80,2,3,7,38,0,0,5,0,30,16,17
Gabon,2025137,YES,1972,0.10,0.10,0.00,10,1,0,1,0,10,1,0,1,0,0,0,0,0,0,Taekwondo,1,0,1,0,GAB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Georgia,3912061,YES,1994,2.54,5.50,0.00,13,41,10,13,18,6,41,10,13,18,7,0,0,0,0,Wrestling,18,3,5,10,GEO,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18
Germany,82114224,YES,1896,30.54,38.44,20.00,28,892,293,293,306,16,652,201,205,246,12,240,92,88,60,Canoeing,70,32,18,20,DEU,3,2,1,"1936 Winter Olympics (Garmisch-Partenkirchen), 1936 Summer Olympics (Berlin), 1972 Summer Olympics (Munich)",,"Shot put:, Ilona Slupianek 22.41 m (GDR), Discus throw:, Martina Hellman 72.30 m",https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,10.86,0,31,2,7,26,154,0,0,0,0,6,80,63,29,163,0,0,35,0,94,30,143,73,19,104,1,0,77,52,182,10,0,20,0,47,0,3,0,23,0,0,0,0,236,15,0,40,31,0,2,26,5,0,47,156,0,16,2,15,2,2,9,0,27,25,35
East Germany,16110000,NO,1968,47.18,81.80,18.33,11,519,192,165,162,5,409,153,129,127,6,110,39,36,35,Athletics,109,38,36,35,XEG,0,0,0,,,,,32.22,0,0,0,0,0,140,0,0,0,0,0,20,38,13,52,0,0,10,0,33,7,0,1,14,51,0,0,86,42,0,0,0,9,0,37,0,0,0,7,0,0,0,0,184,0,0,15,16,0,0,7,0,0,29,152,0,0,0,0,0,0,0,24,0,11,7
United Team of Germany,79360000,NO,1956,22.83,39.33,6.33,6,137,36,60,41,3,118,28,54,36,3,19,8,6,5,Equestrian,14,5,5,4,XUG,0,0,0,,,,,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Germany,63250000,NO,1968,22.09,40.80,6.50,11,243,67,82,94,5,204,56,67,81,6,39,11,15,13,Equestrian,25,11,5,9,XWG,0,0,0,,,,,3.84,0,9,0,0,0,71,0,0,0,0,0,14,16,6,14,0,0,0,0,28,0,62,48,3,18,0,0,1,15,66,18,0,8,0,14,0,0,0,5,0,0,1,0,51,0,0,14,11,0,0,0,0,0,3,59,0,0,0,3,0,0,0,0,12,7,9
Ghana,28833629,YES,1952,0.25,0.29,0.00,16,5,0,1,4,14,5,0,1,4,2,0,0,0,0,Boxing,3,0,1,2,GHA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Britain,60800000,YES,1896,17.31,30.39,1.39,51,948,296,320,332,28,916,285,316,315,23,32,11,4,17,Athletics,205,55,80,70,GBR,3,3,0,"1908 Summer Olympics (London), 1948 Summer Olympics (London), 2012 Summer Olympics (London)",,,,15.59,0,0,12,13,9,338,6,0,0,0,0,0,14,56,22,21,0,0,17,182,13,83,28,20,45,0,3,51,0,163,22,2,19,12,0,0,11,6,0,30,10,0,0,270,30,12,143,99,1,6,0,1,0,0,127,0,0,6,67,1,5,40,0,28,7,17
Greece,11159773,YES,1896,2.47,4.14,0.00,47,120,35,44,41,28,120,35,44,41,19,0,0,0,0,Weightlifting,15,6,5,4,GRC,2,2,0,"1896 Summer Olympics (Athens), 2004 Summer Olympics (Athens)",,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,10.75,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,12,0,11,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,55,0,0,16,25,0,0,0,0,0,0,7,0,0,4,13,0,0,8,0,13,16,11
Grenada,107825,YES,1984,0.22,0.22,0.00,9,3,1,1,1,9,3,1,1,1,0,0,0,0,0,Athletics,2,1,1,0,GRD,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,27.82,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,164229,YES,1988,0.00,0.00,0.00,9,0,0,0,0,8,0,0,0,0,1,0,0,0,0,-,0,0,0,0,GUM,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,16913503,YES,1952,0.07,0.07,0.00,15,1,0,1,0,14,1,0,1,0,1,0,0,0,0,Athletics,1,0,1,0,GTM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,12717176,YES,1968,0.00,0.00,0.00,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-,0,0,0,0,GIN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,1861283,YES,1996,0.00,0.00,0.00,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-,0,0,0,0,GNB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,777859,YES,1948,0.06,0.06,0.00,17,1,0,0,1,17,1,0,0,1,0,0,0,0,0,Boxing,1,0,0,1,GUY,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
