Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
Australia,24450561,YES,1896,10.89,17.75,0.79,47,558,169,175,214,28,543,164,170,209,19,15,5,5,5,Swimming,188,60,64,64,AUS,2,2,0,"1956 Summer Olympics (Melbourne), 2000 Summer Olympics (Sydney)","50 km walk:, Jared Tallent 3:36.53 hr",,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,22.82,0,1,1,5,0,89,0,24,60,0,4,0,0,4,41,0,0,0,0,84,20,37,0,0,0,7,0,0,0,188,0,0,2,0,0,0,1,0,0,0,0,0,0,144,0,12,53,11,5,0,0,2,60,0,401,0,0,2,10,1,5,0,0,39,4,3
Austria,8735453,YES,1896,6.38,3.22,10.09,50,326,83,115,128,27,94,19,34,41,23,232,64,81,87,Alpine Skiing,114,34,39,41,AUT,2,0,2,"1964 Winter Olympics (Innsbruck), 1976 Winter Olympics (Innsbruck)",,,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,37.32,0,114,0,0,10,7,0,0,0,0,0,11,12,0,21,0,0,5,0,3,1,6,13,25,13,1,0,3,22,0,0,0,5,0,27,0,0,0,29,0,0,0,0,9,0,0,12,8,0,1,43,6,0,6,17,0,0,0,2,0,1,0,0,0,11,6
Azerbaijan,9827589,YES,1996,3.58,7.17,0.00,12,50,7,14,29,6,50,7,14,29,6,0,0,0,0,Wrestling,22,4,7,11,AZE,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,23
Bahamas,395361,YES,1952,0.88,0.88,0.00,16,16,8,2,6,16,16,8,2,6,0,0,0,0,0,Athletics,12,5,2,5,BHS,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,40.47,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,1492584,YES,1984,0.33,0.33,0.00,9,4,2,2,0,9,4,2,2,0,0,0,0,0,0,Athletics,3,2,1,0,BHR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,2.68,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,164669751,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,BGD,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,285719,YES,1968,0.08,0.08,0.00,12,1,0,0,1,12,1,0,0,1,0,0,0,0,0,Athletics,1,0,0,1,BRB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg,3.50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,9468338,YES,1994,7.38,13.00,2.57,13,103,21,35,47,6,85,13,30,42,7,18,8,5,5,Canoeing,8,2,2,4,BLR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,10.88,0,0,0,0,0,17,0,0,0,0,0,8,0,2,22,0,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,21,0,17,0,0,0,7,0,0,0,0,0,1,3,0,0,0,3,1,0,0,0,0,12,11
Belgium,11429336,YES,1900,3.28,5.69,0.29,47,161,44,56,61,26,155,43,54,58,21,6,1,2,3,Archery,20,11,6,3,BEL,1,1,0,1920 Summer Olympics (Antwerp),,,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,14.09,0,0,0,52,8,16,0,0,0,0,0,0,9,4,0,0,0,0,0,47,0,23,48,3,23,0,0,48,0,30,0,0,12,0,0,0,0,0,0,0,0,0,0,30,0,0,19,17,0,0,0,0,0,1,5,0,0,0,3,0,0,8,0,54,4,4
Belize,374681,YES,1968,0.00,0.00,0.00,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-,0,0,0,0,BLZ,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
